run_id,scope,entity,selection_role,row_count,selection_rule,normalization_source,prefix_rows,train_split_end,train_valid_split_end,load_mean_prefix,burst_cv_prefix,peak_to_mean_prefix,request_cores_source,request_cores_used,request_fallback_used
full_ua_mstcn_broad_20260428,service_broad,app_3641,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,141.74522399902344,0.2625538408756256,2.850325345993042,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3665,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,583.2466430664062,0.42360562086105347,2.9878153800964355,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3707,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,267.25384521484375,0.25388556718826294,2.12147855758667,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3715,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,472.2776184082031,0.4026646018028259,1.7804782390594482,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3755,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,578.5358276367188,0.44807496666908264,2.2140722274780273,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3924,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,87.140380859375,0.502900242805481,2.6466872692108154,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3979,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,261.999755859375,0.4224083125591278,2.094302177429199,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_3988,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,259.9365234375,0.25850629806518555,4.486608028411865,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_4038,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,2493.787109375,0.37797605991363525,1.703668475151062,median_container_request_cores,8.0,False
full_ua_mstcn_broad_20260428,service_broad,app_4077,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,228.50216674804688,0.255032479763031,3.3870139122009277,median_container_request_cores,4.0,False
full_ua_mstcn_broad_20260428,service_broad,app_4142,broad_service,11520,all 139 broad services; descriptors use train+validation prefix only,train prefix only,9792,8063,9792,46.34345245361328,0.7891818881034851,7.245899200439453,median_container_request_cores,8.0,False
