run_id,scope,entity,selection_role,horizon,calibration_split,calibration_quantile,p90_additive_margin
full_ua_mstcn_broad_20260428,service_broad,app_3422,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3422,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3422,broad_service,10,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3472,broad_service,1,validation,0.9,0.6868987083435059
full_ua_mstcn_broad_20260428,service_broad,app_3472,broad_service,5,validation,0.9,1.9437795877456665
full_ua_mstcn_broad_20260428,service_broad,app_3472,broad_service,10,validation,0.9,3.213653326034546
full_ua_mstcn_broad_20260428,service_broad,app_3511,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3511,broad_service,5,validation,0.9,2.020479440689087
full_ua_mstcn_broad_20260428,service_broad,app_3511,broad_service,10,validation,0.9,2.936427593231201
full_ua_mstcn_broad_20260428,service_broad,app_3514,broad_service,1,validation,0.9,1.2764989137649536
full_ua_mstcn_broad_20260428,service_broad,app_3514,broad_service,5,validation,0.9,6.3317413330078125
full_ua_mstcn_broad_20260428,service_broad,app_3514,broad_service,10,validation,0.9,12.948928833007812
full_ua_mstcn_broad_20260428,service_broad,app_3632,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3632,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3632,broad_service,10,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3641,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3641,broad_service,5,validation,0.9,0.25983527302742004
full_ua_mstcn_broad_20260428,service_broad,app_3641,broad_service,10,validation,0.9,0.7557141184806824
full_ua_mstcn_broad_20260428,service_broad,app_3665,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3665,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3665,broad_service,10,validation,0.9,4.23831033706665
full_ua_mstcn_broad_20260428,service_broad,app_3707,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3707,broad_service,5,validation,0.9,0.9387868046760559
full_ua_mstcn_broad_20260428,service_broad,app_3707,broad_service,10,validation,0.9,1.6106730699539185
full_ua_mstcn_broad_20260428,service_broad,app_3715,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3715,broad_service,5,validation,0.9,1.6744502782821655
full_ua_mstcn_broad_20260428,service_broad,app_3715,broad_service,10,validation,0.9,2.601469039916992
full_ua_mstcn_broad_20260428,service_broad,app_3755,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3755,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3755,broad_service,10,validation,0.9,0.03842110186815262
full_ua_mstcn_broad_20260428,service_broad,app_3924,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3924,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3924,broad_service,10,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3979,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3979,broad_service,5,validation,0.9,5.7347798347473145
full_ua_mstcn_broad_20260428,service_broad,app_3979,broad_service,10,validation,0.9,9.044739723205566
full_ua_mstcn_broad_20260428,service_broad,app_3988,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_3988,broad_service,5,validation,0.9,1.0272629261016846
full_ua_mstcn_broad_20260428,service_broad,app_3988,broad_service,10,validation,0.9,1.8498896360397339
full_ua_mstcn_broad_20260428,service_broad,app_4038,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4038,broad_service,5,validation,0.9,28.12839126586914
full_ua_mstcn_broad_20260428,service_broad,app_4038,broad_service,10,validation,0.9,43.21102523803711
full_ua_mstcn_broad_20260428,service_broad,app_4077,broad_service,1,validation,0.9,0.5336145758628845
full_ua_mstcn_broad_20260428,service_broad,app_4077,broad_service,5,validation,0.9,1.194378137588501
full_ua_mstcn_broad_20260428,service_broad,app_4077,broad_service,10,validation,0.9,2.016343355178833
full_ua_mstcn_broad_20260428,service_broad,app_4142,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4142,broad_service,5,validation,0.9,0.48017144203186035
full_ua_mstcn_broad_20260428,service_broad,app_4142,broad_service,10,validation,0.9,1.5526623725891113
full_ua_mstcn_broad_20260428,service_broad,app_4220,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4220,broad_service,5,validation,0.9,24.92816925048828
full_ua_mstcn_broad_20260428,service_broad,app_4220,broad_service,10,validation,0.9,36.4932746887207
full_ua_mstcn_broad_20260428,service_broad,app_4265,broad_service,1,validation,0.9,4.8279571533203125
full_ua_mstcn_broad_20260428,service_broad,app_4265,broad_service,5,validation,0.9,1.7364898920059204
full_ua_mstcn_broad_20260428,service_broad,app_4265,broad_service,10,validation,0.9,2.0720977783203125
full_ua_mstcn_broad_20260428,service_broad,app_4353,broad_service,1,validation,0.9,1.1773028373718262
full_ua_mstcn_broad_20260428,service_broad,app_4353,broad_service,5,validation,0.9,2.476315975189209
full_ua_mstcn_broad_20260428,service_broad,app_4353,broad_service,10,validation,0.9,1.881025791168213
full_ua_mstcn_broad_20260428,service_broad,app_4371,broad_service,1,validation,0.9,0.1024714931845665
full_ua_mstcn_broad_20260428,service_broad,app_4371,broad_service,5,validation,0.9,0.002538442611694336
full_ua_mstcn_broad_20260428,service_broad,app_4371,broad_service,10,validation,0.9,0.8037353754043579
full_ua_mstcn_broad_20260428,service_broad,app_442,broad_service,1,validation,0.9,9.886160850524902
full_ua_mstcn_broad_20260428,service_broad,app_442,broad_service,5,validation,0.9,38.22221374511719
full_ua_mstcn_broad_20260428,service_broad,app_442,broad_service,10,validation,0.9,44.197845458984375
full_ua_mstcn_broad_20260428,service_broad,app_4456,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4456,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4456,broad_service,10,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4474,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4474,broad_service,5,validation,0.9,0.40387824177742004
full_ua_mstcn_broad_20260428,service_broad,app_4474,broad_service,10,validation,0.9,5.45317268371582
full_ua_mstcn_broad_20260428,service_broad,app_4483,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4483,broad_service,5,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4483,broad_service,10,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_459,broad_service,1,validation,0.9,0.2707654535770416
full_ua_mstcn_broad_20260428,service_broad,app_459,broad_service,5,validation,0.9,1.6744813919067383
full_ua_mstcn_broad_20260428,service_broad,app_459,broad_service,10,validation,0.9,2.09793758392334
full_ua_mstcn_broad_20260428,service_broad,app_460,broad_service,1,validation,0.9,0.08126171678304672
full_ua_mstcn_broad_20260428,service_broad,app_460,broad_service,5,validation,0.9,0.2693275809288025
full_ua_mstcn_broad_20260428,service_broad,app_460,broad_service,10,validation,0.9,0.3454000949859619
full_ua_mstcn_broad_20260428,service_broad,app_4619,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4619,broad_service,5,validation,0.9,0.33568698167800903
full_ua_mstcn_broad_20260428,service_broad,app_4619,broad_service,10,validation,0.9,0.15094046294689178
full_ua_mstcn_broad_20260428,service_broad,app_4650,broad_service,1,validation,0.9,0.0
full_ua_mstcn_broad_20260428,service_broad,app_4650,broad_service,5,validation,0.9,5.967927932739258
full_ua_mstcn_broad_20260428,service_broad,app_4650,broad_service,10,validation,0.9,4.073610305786133
full_ua_mstcn_broad_20260428,service_broad,app_4799,broad_service,1,validation,0.9,0.0
