actual_required_capacity,reactive_capacity,lagged_capacity,predictive_capacity,forecast_p50,forecast_p90
0.3475828129667555,0.6166105453909663,0.33539827337067113,0.509838252360952,0.36143409879137717,0.4727111914250766
0.3173331023775228,0.6166105453909663,0.3475828129667555,0.509838252360952,0.3514309537588293,0.47410998814753075
0.33070758221581464,0.6166105453909663,0.3173331023775228,0.509838252360952,0.3580107024557513,0.4737355235848199
0.3660120309799903,0.6166105453909663,0.33070758221581464,0.509838252360952,0.35746512575454664,0.46675567882930646
0.3826793718310667,0.6166105453909663,0.3660120309799903,0.40983825236095206,0.3563869367927503,0.46054662855239653
0.37228333845641837,0.6166105453909663,0.3826793718310667,0.44652803110907613,0.34409812154936836,0.44652803110907613
0.38546121473882383,0.6166105453909663,0.37228333845641837,0.44652803110907613,0.3300891515113348,0.44093692221611036
0.4979321474332932,0.7166105453909662,0.38546121473882383,0.44652803110907613,0.3311163197553302,0.43224804913563414
0.4636659551700787,0.7166105453909662,0.48546121473882387,0.44652803110907613,0.3378256008923942,0.4396282583864045
0.35180941254604503,0.7166105453909662,0.4636659551700787,0.44652803110907613,0.34379271884031815,0.44619208812912087
0.30769994310564625,0.6166105453909663,0.3636659551700787,0.44652803110907613,0.3384793624481407,0.4403473960977257
0.3296030143408168,0.6166105453909663,0.30769994310564625,0.44652803110907613,0.3362373318338998,0.43788116242206065
0.3178042796870623,0.6166105453909663,0.3296030143408168,0.48406940301590284,0.37567059495436567,0.48406940301590284
0.36333501196782164,0.6166105453909663,0.3178042796870623,0.4843042572266202,0.37844014529259024,0.4843042572266202
0.3470532357737649,0.6166105453909663,0.36333501196782164,0.4843042572266202,0.3606403234018608,0.4647244531468178
0.3852555129601333,0.6166105453909663,0.3470532357737649,0.4843042572266202,0.34863759656404586,0.46840841458813276
0.31969475179643375,0.6166105453909663,0.3852555129601333,0.3843042572266202,0.33701447300327614,0.45012388715365165
0.3251644778112835,0.6166105453909663,0.31969475179643375,0.4408740976499381,0.335485556217972,0.4408740976499381
0.3468293469784686,0.6166105453909663,0.3251644778112835,0.45175542640774546,0.3488502990936132,0.45175542640774546
0.34980706814085,0.6166105453909663,0.3468293469784686,0.45175542640774546,0.34364087272112653,0.4460250573980101
0.3395330077141784,0.6166105453909663,0.34980706814085,0.46917674815667215,0.3646878643199102,0.46917674815667215
0.3155998363206211,0.6166105453909663,0.3395330077141784,0.46917674815667215,0.35120090240115953,0.4543410900460464
0.31187658356813774,0.6166105453909663,0.3155998363206211,0.46917674815667215,0.3477008331460946,0.4511217072175628
0.35760879683510816,0.6166105453909663,0.31187658356813774,0.46917674815667215,0.3413052317420617,0.4434558523210388
0.3324668521787292,0.6166105453909663,0.35760879683510816,0.46917674815667215,0.34010210181715606,0.44213240940364257
0.27951708970505845,0.6166105453909663,0.3324668521787292,0.46917674815667215,0.3387923125214308,0.44069164117834486
0.2964198512919168,0.6166105453909663,0.27951708970505845,0.46917674815667215,0.3320132580547684,0.43323468126501613
0.2783538771266591,0.6166105453909663,0.2964198512919168,0.46917674815667215,0.33214774008082937,0.43338261149368323
0.3058587973319539,0.6166105453909663,0.2783538771266591,0.3691767481566721,0.3434212160298138,0.4457834350375661
0.322622367102919,0.6166105453909663,0.3058587973319539,0.4419314927069411,0.33991945027470016,0.4419314927069411
