cohort_label,app_du,metric,predictive_minus_reactive,load_weight
broad,app_2899,average_capacity,-3.8133892702734613,375.1005384837963
broad,app_2965,over_provisioning,-20.012314189032708,1039.521386284718
broad,app_2965,scaling_actions,208.0,1039.521386284718
broad,app_2965,sla_violation,-0.0006009615384615988,1039.521386284718
broad,app_2965,average_capacity,32.892573016329095,1039.521386284718
broad,app_2989,over_provisioning,-0.7651932790196492,24.4871854745369
broad,app_2989,scaling_actions,296.0,24.4871854745369
broad,app_2989,sla_violation,0.0234375,24.4871854745369
broad,app_2989,average_capacity,-0.0722978350883352,24.4871854745369
broad,app_3073,over_provisioning,-7.066408129872504,107.14317557870385
broad,app_3073,scaling_actions,434.0,107.14317557870385
broad,app_3073,sla_violation,0.0024038461538461,107.14317557870385
broad,app_3073,average_capacity,-2.706688746623037,107.14317557870385
broad,app_3136,over_provisioning,-30.734127316506616,667.0304006365736
broad,app_3136,scaling_actions,177.0,667.0304006365736
broad,app_3136,sla_violation,0.027043269230769197,667.0304006365736
broad,app_3136,average_capacity,-0.5755361106060946,667.0304006365736
broad,app_3183,over_provisioning,17.64265428495913,218.16133912036992
broad,app_3183,scaling_actions,47.0,218.16133912036992
broad,app_3183,sla_violation,-0.0048076923076923045,218.16133912036992
broad,app_3183,average_capacity,25.16379170887302,218.16133912036992
broad,app_3238,over_provisioning,12.398825129153138,581.9098673611118
broad,app_3238,scaling_actions,-159.0,581.9098673611118
broad,app_3238,sla_violation,0.0,581.9098673611118
broad,app_3238,average_capacity,35.411817962686854,581.9098673611118
broad,app_3275,over_provisioning,0.2263601930476753,444.68289999999786
broad,app_3275,scaling_actions,-154.0,444.68289999999786
broad,app_3275,sla_violation,0.013822115384615391,444.68289999999786
broad,app_3275,average_capacity,4.7972203648701,444.68289999999786
broad,app_3422,over_provisioning,-2.032963319503586,20.153281249999814
broad,app_3422,scaling_actions,482.0,20.153281249999814
broad,app_3422,sla_violation,0.0030048076923077003,20.153281249999814
broad,app_3422,average_capacity,-1.249263675521318,20.153281249999814
broad,app_3472,over_provisioning,-20.989018129667926,155.38695312499988
broad,app_3472,scaling_actions,247.0,155.38695312499988
broad,app_3472,sla_violation,0.0084134615384615,155.38695312499988
broad,app_3472,average_capacity,-13.781079128591188,155.38695312499988
broad,app_3511,over_provisioning,-4.7247838151734385,591.8680300925931
broad,app_3511,scaling_actions,-75.0,591.8680300925931
broad,app_3511,sla_violation,0.0072115384615385,591.8680300925931
broad,app_3511,average_capacity,19.71499979244058,591.8680300925931
broad,app_3514,over_provisioning,-54.66696678514326,353.6846534143509
broad,app_3514,scaling_actions,-69.0,353.6846534143509
broad,app_3514,sla_violation,0.591346153846154,353.6846534143509
broad,app_3514,average_capacity,-49.543444347529515,353.6846534143509
broad,app_3632,over_provisioning,42.235883588660215,1656.1551917245354
broad,app_3632,scaling_actions,-391.0,1656.1551917245354
broad,app_3632,sla_violation,-0.08293269230769232,1656.1551917245354
broad,app_3632,average_capacity,119.1480730624993,1656.1551917245354
broad,app_3641,over_provisioning,-21.963029781387156,165.76614641203682
broad,app_3641,scaling_actions,193.0,165.76614641203682
broad,app_3641,sla_violation,0.42307692307692313,165.76614641203682
broad,app_3641,average_capacity,-17.49571476741454,165.76614641203682
broad,app_3665,over_provisioning,30.255066965999262,647.9189583333327
broad,app_3665,scaling_actions,-111.0,647.9189583333327
broad,app_3665,sla_violation,0.0018028846153846992,647.9189583333327
broad,app_3665,average_capacity,67.92379404232133,647.9189583333327
broad,app_3707,over_provisioning,-11.365026479046525,272.1763495370369
broad,app_3707,scaling_actions,328.0,272.1763495370369
broad,app_3707,sla_violation,0.0084134615384616,272.1763495370369
broad,app_3707,average_capacity,-5.8275755512772776,272.1763495370369
broad,app_3715,over_provisioning,3.2504015084932263,483.3682387152777
broad,app_3715,scaling_actions,-3.0,483.3682387152777
broad,app_3715,sla_violation,0.0006009615384615,483.3682387152777
broad,app_3715,average_capacity,23.540263342928313,483.3682387152777
broad,app_3755,over_provisioning,15.239390795525281,593.2226660879631
broad,app_3755,scaling_actions,-176.0,593.2226660879631
broad,app_3755,sla_violation,0.0036057692307692995,593.2226660879631
broad,app_3755,average_capacity,40.45988189116588,593.2226660879631
broad,app_3924,over_provisioning,-13.329654432207388,96.84083373842586
broad,app_3924,scaling_actions,374.0,96.84083373842586
broad,app_3924,sla_violation,0.0078125,96.84083373842586
broad,app_3924,average_capacity,-7.667133787246051,96.84083373842586
broad,app_3979,over_provisioning,-6.519198013163248,272.307338541667
broad,app_3979,scaling_actions,142.0,272.307338541667
broad,app_3979,sla_violation,0.006009615384615398,272.307338541667
broad,app_3979,average_capacity,-0.4284111642675157,272.307338541667
broad,app_3988,over_provisioning,-2.736942418657115,266.2517384259241
