app_du,selection_role,policy_name,model_name,horizon,request_cores_source,request_cores_used,request_fallback_used,sla_violation,over_provisioning,under_provisioning,scaling_actions,average_capacity
app_17,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.006009615384615385,3.3494977431085693,0.04184108422072286,557,19.11148846477718
app_1797,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.0,38.165799779647514,0.0,72,98.04193108974371
app_1797,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.4963942307692308,0.8809253555689073,1.0760976812900642,1659,68.66237868088947
app_1797,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.01201923076923077,16.408007427032597,0.06469486235242808,395,85.2008635712908
app_1825,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.0006009615384615385,41.272298177083414,3.3052884615388714e-05,149,113.3590865384616
app_1825,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.484375,1.1295949268830148,1.4753734224759651,1661,82.55406613080928
app_1825,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.0018028846153846155,26.522720179027605,0.001136214293942651,353,109.42142859113589
app_2024,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.001201923076923077,26.121723257211595,0.03851562499999998,89,66.89560096153848
app_2024,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.49759615384615385,0.5438637820512826,0.6452180739182702,1662,46.83289803685894
app_2024,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.0030048076923076925,12.01063857744898,0.06901340713768339,398,58.87587749903722
app_1826,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.04807692307692308,16.73433844150641,2.021039663461539,267,39.519318910256374
app_1826,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.484375,1.1292437149439112,4.46660349058494,1659,25.189563376402198
app_1826,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.05889423076923077,21.378104750108267,2.1579369204667738,359,47.74709098168473
app_2241,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.014423076923076924,99.89847055288496,0.18774288862178554,630,299.3454567307697
app_2241,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4597355769230769,4.033045397636287,4.621454777644218,1662,228.9915290464745
app_2241,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.03125,109.36156621666211,0.589379866653968,335,338.3521247764906
app_2128,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.0,13.875542367788443,0.0,14,45.345905448717886
app_2128,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.5006009615384616,0.4313567708333371,0.44184430088141435,1661,36.18043001302079
app_2128,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.0006009615384615385,5.877375155152889,0.0013296457197238948,518,42.06696305250204
app_2264,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.0,68.45193108974368,0.0,278,217.3079246794872
app_2264,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4807692307692308,1.5084762870592872,1.5857996544471324,1662,171.10706926081716
app_2264,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.0006009615384615385,59.384249009375864,0.012505286270004561,355,230.5561363513108
app_2296,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.022235576923076924,43.2996063701923,0.29865184294871816,179,108.46756410256405
app_2296,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4885817307692308,2.0021978916266012,2.8592841796875024,1659,74.42951472355766
app_2296,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.03545673076923077,28.542795366585988,1.2047561331707786,359,102.62464024503376
app_2324,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.028846153846153848,34.23405649038412,7.9403901241987445,270,83.34021634615328
app_2324,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.4801682692307692,1.2589536508413433,11.521687925681107,1662,55.340798202123295
app_2324,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.03064903846153846,43.174683441528686,8.777069526135694,315,100.00114639235605
app_2497,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.013221153846153846,55.34283353365364,0.43136618589744224,86,147.5268269230766
app_2497,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4921875,1.0916253255208175,3.2679646684695447,1662,104.33132416866972
app_2497,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.027644230769230768,26.783824022178507,1.1542018785129402,371,132.13728565528402
app_2557,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.0,28.014600360576914,0.0,121,87.29750801282049
app_2557,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.47896634615384615,0.5855109675480766,0.6523605518830119,1660,68.10849421574517
app_2557,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.001201923076923077,18.204643553192135,0.002171898509606247,382,86.37781545476263
app_263,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.0006009615384615385,146.01090244391122,0.004093549679487248,458,461.0381810897449
app_263,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.47055288461538464,11.546145532852673,10.733923677884436,1662,363.0982998798081
app_263,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.002403846153846154,132.79665085955068,0.07276860617604305,312,495.0099602782145
app_2660,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.0030048076923076925,30.127221554487218,0.024438100961538416,123,82.79519230769235
app_2660,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.48617788461538464,0.9240049579326909,0.9278278495592966,1660,60.592447290665056
app_2660,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.007211538461538462,20.796934443254084,0.07598793493356265,367,81.3172166906122
app_2695,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.03125,22.47709785657043,2.9638361378205245,168,51.42947115384602
app_2695,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.49278846153846156,0.8046633363381409,5.361455228365397,1660,32.146848958333244
app_2695,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.05108173076923077,24.115563957251133,3.3866536934177214,348,57.43255111419391
app_2754,broad_full_service,reactive_service,n/a,5,median_container_request_cores,4.0,False,0.002403846153846154,80.19304226762803,0.009840745192307983,173,215.4332451923075
app_2754,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,4.0,False,0.4777644230769231,2.2125628104967836,2.9527424879807547,1662,154.79737054286858
app_2754,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,4.0,False,0.006009615384615385,48.99869716452162,0.060792793145719504,343,204.47545459172846
app_2819,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.002403846153846154,30.85559094551278,0.01752303685897398,88,73.98451923076922
app_2819,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.5024038461538461,1.0495983323317357,1.3726022135416647,1661,49.29541513922282
app_2819,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.012620192307692308,14.782457199127485,0.14875223483191796,367,64.25212398472831
app_2856,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.022235576923076924,69.75153896233984,0.29425180288460745,371,171.0393509615386
app_2856,broad_full_service,lagged_tracking_service,n/a,5,median_container_request_cores,8.0,False,0.47415865384615385,3.2109301883012646,6.382003480568871,1662,113.64830008012817
app_2856,broad_full_service,qlr_predictive_service,quantile_linear_regression,5,median_container_request_cores,8.0,False,0.018629807692307692,76.77076840981591,0.45335801521176095,320,193.13678376699988
app_2895,broad_full_service,reactive_service,n/a,5,median_container_request_cores,8.0,False,0.025841346153846152,9.171515925480765,0.11613681891025697,132,21.360048076923004
