minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1487,app_141,186.0,18.048387096774192,98.54569892473118,268.56,1488.0,3.13,261,18.048387096774192,0
1488,app_141,163.0,17.888548057259715,98.44478527607362,233.26666666666668,1304.0,3.13,216,17.888548057259715,0
1489,app_141,174.0,17.45977011494253,98.50574712643679,243.04,1392.0,3.13,252,17.45977011494253,0
1490,app_141,178.0,17.725187265917604,98.57584269662921,252.40666666666667,1424.0,3.13,232,17.725187265917604,0
1491,app_141,173.0,18.809730250481696,98.63872832369943,260.32666666666665,1384.0,3.13,228,18.809730250481692,0
1492,app_141,160.0,17.8140625,98.471875,228.02,1280.0,3.13,218,17.8140625,0
1493,app_141,154.0,17.7732683982684,98.43506493506493,218.96666666666667,1232.0,3.13,204,17.7732683982684,0
1494,app_141,183.0,17.75,98.06602914389799,259.86,1464.0,3.13,255,17.75,0
1495,app_141,181.0,18.438766114180478,98.43646408839778,266.99333333333334,1448.0,3.13,260,18.43876611418048,0
1496,app_141,176.0,17.912878787878785,97.97916666666666,252.21333333333334,1408.0,3.13,243,17.912878787878785,0
1497,app_141,162.0,17.518004115226336,98.44238683127571,227.03333333333333,1296.0,3.13,227,17.518004115226336,0
1498,app_141,190.0,17.694298245614036,97.89605263157895,268.9533333333333,1520.0,3.1299999999999994,269,17.694298245614036,0
1499,app_141,172.0,17.637112403100776,98.203003875969,242.68666666666667,1376.0,3.13,237,17.637112403100776,0
1500,app_141,179.0,18.921322160148975,98.44553072625699,270.9533333333333,1432.0,3.13,232,18.921322160148975,0
1501,app_141,186.0,18.40905017921147,98.02150537634408,273.9266666666667,1488.0,3.13,248,18.40905017921147,0
1502,app_141,178.0,18.380149812734082,98.39606741573034,261.73333333333335,1424.0,3.13,249,18.380149812734086,0
1503,app_141,197.0,18.04695431472081,98.10236886632826,284.42,1576.0,3.13,287,18.04695431472081,0
1504,app_141,193.0,17.924870466321245,97.93436960276338,276.76,1544.0,3.1300000000000003,274,17.924870466321245,0
1505,app_141,194.0,17.895189003436425,98.34278350515464,277.73333333333335,1552.0,3.1300000000000003,251,17.89518900343643,0
1506,app_141,192.0,17.407552083333332,97.84114583333333,267.38,1536.0,3.1300000000000003,260,17.407552083333332,0
1507,app_141,177.0,18.062146892655367,97.93408662900188,255.76,1416.0,3.13,235,18.062146892655367,0
1508,app_141,190.0,17.216666666666665,97.9,261.6933333333333,1520.0,3.1299999999999994,266,17.216666666666665,0
1509,app_141,174.0,17.06848659003831,97.89319923371649,237.59333333333333,1392.0,3.13,238,17.06848659003831,0
1510,app_141,198.0,17.977272727272727,98.01178451178451,284.76,1584.0,3.13,271,17.977272727272727,0
1511,app_141,194.0,17.120704467353953,98.42611683848799,265.7133333333333,1552.0,3.1300000000000003,251,17.120704467353953,0
1512,app_141,201.0,17.198175787728026,98.52943615257048,276.5466666666667,1608.0,3.13,280,17.198175787728026,0
1513,app_141,190.0,17.689035087719297,97.7921052631579,268.87333333333333,1520.0,3.1299999999999994,245,17.689035087719297,0
1514,app_141,199.0,18.301926298157454,97.95100502512562,291.3666666666667,1592.0,3.13,255,18.301926298157454,0
1515,app_141,199.0,18.97780569514238,98.05150753768844,302.12666666666667,1592.0,3.13,281,18.97780569514238,0
1516,app_141,187.0,20.595811051693403,98.7312834224599,308.11333333333334,1496.0,3.13,259,20.595811051693406,0
1517,app_141,205.0,23.09390243902439,98.40731707317073,378.74,1640.0,3.13,286,23.09390243902439,0
1518,app_141,193.0,23.795768566493955,98.37823834196891,367.4066666666667,1544.0,3.1300000000000003,265,23.795768566493958,0
1519,app_141,191.0,22.60296684118674,98.65139616055848,345.37333333333333,1528.0,3.1299999999999994,277,22.60296684118674,0
1520,app_141,211.0,21.817535545023695,98.40995260663507,368.28000000000003,1688.0,3.13,280,21.817535545023695,0
1521,app_141,210.0,18.775396825396825,97.73809523809524,315.4266666666667,1680.0,3.13,288,18.775396825396825,0
1522,app_141,189.0,18.641975308641975,97.64638447971782,281.8666666666667,1512.0,3.1299999999999994,261,18.641975308641975,0
1523,app_141,191.0,16.840968586387433,98.0584642233857,257.33,1528.0,3.1299999999999994,287,16.840968586387433,0
1524,app_141,190.0,16.950877192982457,98.25921052631578,257.6533333333333,1520.0,3.1299999999999994,264,16.950877192982457,0
1525,app_141,188.0,17.164893617021278,97.92375886524823,258.16,1504.0,3.13,262,17.164893617021278,0
1526,app_141,186.0,16.489247311827956,97.99103942652329,245.36,1488.0,3.13,259,16.489247311827956,0
1527,app_141,173.0,16.51300578034682,98.57947976878613,228.54,1384.0,3.13,226,16.51300578034682,0
1528,app_141,186.0,16.192652329749105,98.16801075268818,240.94666666666666,1488.0,3.13,240,16.1926523297491,0
1529,app_141,186.0,16.13888888888889,98.78225806451613,240.14666666666668,1488.0,3.13,252,16.13888888888889,0
1530,app_141,181.0,16.888581952117864,98.90930018416205,244.54666666666668,1448.0,3.13,248,16.888581952117864,0
1531,app_141,189.0,16.593033509700177,98.43871252204586,250.88666666666666,1512.0,3.1299999999999994,249,16.593033509700174,0
1532,app_141,179.0,16.502327746741155,98.97206703910615,236.31333333333333,1432.0,3.13,245,16.502327746741155,0
1533,app_141,183.0,15.87295081967213,98.89754098360656,232.38,1464.0,3.13,259,15.87295081967213,0
1534,app_141,190.0,16.451754385964914,98.90964912280701,250.06666666666666,1520.0,3.1299999999999994,247,16.451754385964914,0
1535,app_141,200.0,16.855416666666667,98.5725,269.68666666666667,1600.0,3.13,272,16.855416666666667,0
1536,app_141,174.0,16.30028735632184,99.08333333333333,226.9,1392.0,3.13,233,16.30028735632184,0
