app_du,observed_minutes,coverage_ratio,imputed_ratio,mean_active_container_count,mean_service_cpu_used_cores_proxy,peak_service_cpu_used_cores_proxy,global_minute_start,global_minute_end,global_span_minutes,selected_containers,mean_container_request_cores,median_container_request_cores,mean_container_mem_size,unique_containers,span_seconds,matched_containers,container_hit_ratio,usage_rows_scanned,matched_container_minute_rows,max_seen_container_id
app_5035,11205,0.97265625,0.02734375,538.5618055555556,381.6926950231485,957.0799999999989,1440,12959,11520,102,8.0,8.0,3.13,102,668630,102,1.0,4015549996,1060584299,71476
app_1254,11205,0.97265625,0.02734375,659.5020833333333,372.0490571759261,1153.6400000000006,1440,12959,11520,124,8.0,8.0,3.13,124,693222,124,1.0,4015549996,1060584299,71476
app_5877,11205,0.97265625,0.02734375,553.5360243055555,354.59881018518564,669.7199999999995,1440,12959,11520,126,8.0,8.0,3.13,126,660628,126,1.0,4015549996,1060584299,71476
app_2497,11205,0.97265625,0.02734375,860.3236979166667,342.5719162037036,1065.026666666669,1440,12959,11520,160,4.0,4.0,1.56,160,666152,160,1.0,4015549996,1060584299,71476
app_5652,11205,0.97265625,0.02734375,665.3711805555556,300.59076799768536,576.3200000000005,1440,12959,11520,124,4.0,4.0,1.56,124,686796,124,1.0,4015549996,1060584299,71476
app_3988,11205,0.97265625,0.02734375,1266.84765625,266.2517384259241,1271.4799999999993,1440,12959,11520,237,4.0,4.0,1.56,237,678042,237,1.0,4015549996,1060584299,71476
app_9030,11205,0.97265625,0.02734375,286.8984375,252.9468608217592,467.98000000000025,1440,12959,11520,84,4.0,4.0,1.5599999999999998,84,678026,84,1.0,4015549996,1060584299,71476
app_2296,11205,0.97265625,0.02734375,340.7856770833333,231.8634592013888,595.8133333333333,1440,12959,11520,65,4.0,4.0,1.56,65,678034,65,1.0,4015549996,1060584299,71476
app_8360,11205,0.97265625,0.02734375,309.8126736111111,192.30954999999983,432.80000000000024,1440,12959,11520,81,8.0,8.0,3.13,81,668642,81,1.0,4015549996,1060584299,71476
app_2557,11205,0.97265625,0.02734375,555.4026909722222,185.281992766204,515.5000000000003,1440,12959,11520,105,4.0,4.0,1.56,105,684626,105,1.0,4015549996,1060584299,71476
app_7264,11205,0.97265625,0.02734375,364.71232638888887,182.9839990740738,741.8800000000005,1440,12959,11520,68,8.0,8.0,3.13,68,668708,68,1.0,4015549996,1060584299,71476
app_3472,11205,0.97265625,0.02734375,502.0046875,155.38695312499988,558.6000000000006,1440,12959,11520,95,4.0,4.0,1.5600000000000003,95,668740,95,1.0,4015549996,1060584299,71476
app_2024,11205,0.97265625,0.02734375,321.56519097222224,151.99382609953693,383.19999999999965,1440,12959,11520,62,4.0,4.0,1.95,62,673281,62,1.0,4015549996,1060584299,71476
app_7766,11205,0.97265625,0.02734375,389.43359375,141.49802459490738,606.2599999999992,1440,12959,11520,74,4.0,4.0,1.56,74,678053,74,1.0,4015549996,1060584299,71476
app_5729,11205,0.97265625,0.02734375,381.9441840277778,140.25504490740735,502.7399999999995,1440,12959,11520,79,4.0,4.0,1.56,79,678044,79,1.0,4015549996,1060584299,71476
app_7227,11205,0.97265625,0.02734375,345.00902777777776,95.88045601851849,1107.7800000000002,1440,12959,11520,64,4.0,4.0,1.56,64,668651,64,1.0,4015549996,1060584299,71476
app_459,11205,0.97265625,0.02734375,540.4443576388888,90.95101574074003,778.2800000000003,1440,12959,11520,101,8.0,8.0,3.13,101,678033,101,1.0,4015549996,1060584299,71476
app_460,11205,0.97265625,0.02734375,406.2494791666667,53.71530688657377,259.3799999999998,1440,12959,11520,75,4.0,4.0,1.56,75,693445,75,1.0,4015549996,1060584299,71476
app_9741,11205,0.97265625,0.02734375,1645.0404513888889,508.6964322916671,2619.6399999999603,1440,12959,11520,311,4.0,4.0,1.56,311,678018,310,0.9967845659163987,4015549996,1060584299,71476
app_3632,11205,0.97265625,0.02734375,2025.66875,1656.1551917245354,3643.4666666666653,1440,12959,11520,382,4.0,4.0,1.5600000000000003,382,678039,380,0.9947643979057592,4015549996,1060584299,71476
app_3979,11205,0.97265625,0.02734375,850.5833333333334,272.307338541667,822.0000000000018,1440,12959,11520,160,8.0,8.0,3.13,160,678035,159,0.99375,4015549996,1060584299,71476
app_3641,11205,0.97265625,0.02734375,688.6342013888889,165.76614641203682,740.8999999999999,1440,12959,11520,155,4.0,4.0,1.56,155,678053,154,0.9935483870967742,4015549996,1060584299,71476
app_1658,11205,0.97265625,0.02734375,794.0983506944444,649.2882430555552,1022.9600000000033,1440,12959,11520,149,4.0,4.0,1.56,149,678032,148,0.9932885906040269,4015549996,1060584299,71476
app_6911,11205,0.97265625,0.02734375,720.7953993055555,525.8477006365746,1280.999999999998,1440,12959,11520,137,4.0,4.0,1.56,137,678047,136,0.9927007299270073,4015549996,1060584299,71476
app_484,11205,0.97265625,0.02734375,711.5930555555556,125.05973177083295,621.8399999999981,1440,12959,11520,133,4.0,4.0,1.56,133,678047,132,0.9924812030075187,4015549996,1060584299,71476
app_6140,11205,0.97265625,0.02734375,665.0728298611111,305.79739027777794,1529.7399999999993,1440,12959,11520,256,4.0,4.0,1.56,256,684626,254,0.9921875,4015549996,1060584299,71476
app_6597,11205,0.97265625,0.02734375,1345.3203125,3591.3255783564805,6500.919999999996,1440,12959,11520,254,8.0,8.0,3.13,254,678053,252,0.9921259842519685,4015549996,1060584299,71476
app_7419,11205,0.97265625,0.02734375,624.9216145833333,599.4613037615742,1188.839999999997,1440,12959,11520,117,4.0,4.0,1.56,117,678052,116,0.9914529914529915,4015549996,1060584299,71476
app_559,11205,0.97265625,0.02734375,588.5838541666667,403.49789004629656,674.440000000002,1440,12959,11520,112,4.0,4.0,1.56,112,678039,111,0.9910714285714286,4015549996,1060584299,71476
app_5732,11205,0.97265625,0.02734375,1153.1697916666667,1801.4324876157389,3655.160000000006,1440,12959,11520,216,8.0,8.0,3.1299999999999994,216,678053,214,0.9907407407407407,4015549996,1060584299,71476
app_263,11205,0.97265625,0.02734375,1106.3015625,1942.704773726853,3857.973333333323,1440,12959,11520,318,8.0,8.0,3.13,318,693993,315,0.9905660377358491,4015549996,1060584299,71476
app_8205,11205,0.97265625,0.02734375,361.7896701388889,181.64111226851844,623.0200000000002,1440,12959,11520,103,4.0,4.0,1.56,103,678070,102,0.9902912621359223,4015549996,1060584299,71476
