machine_id,model_name,horizon,mae,rmse,mape,latency_ms
m_103,ua_mstcn_lite_quantile_forest,5,5.310502262666241,7.042707544071331,0.1861672365745487,6620.863237107794
m_103,persistence,10,6.871296296296297,9.170827245899067,0.2383388056873259,0.662459060549736
m_103,linear_regression,10,5.683426824572451,7.478576069554091,0.2013838436118055,16.758624464273453
m_103,random_forest,10,5.626063731609219,7.453240979242818,0.1999097556341994,7255.726290866733
m_103,ua_mstcn_lite_quantile_forest,10,5.803066666606325,7.649369050046249,0.2030716158109778,6265.191736320655
m_639,persistence,1,3.41976418864908,4.790927390384892,0.0867803089102214,0.7473360747098923
m_639,linear_regression,1,3.339039090014752,4.531637118168208,0.0855002458816368,16.44275151193142
m_639,random_forest,1,3.401666431268892,4.613134304214696,0.0879768884307727,7446.778208017349
m_639,ua_mstcn_lite_quantile_forest,1,3.344860169087717,4.592668335507865,0.0851698656045125,6113.096347078681
m_639,persistence,5,6.14322749732906,8.088892964490787,0.1558328771277276,0.5985014140605927
m_639,linear_regression,5,5.225219031001231,6.797827676682191,0.1349305196808901,14.932041987776756
m_639,random_forest,5,5.304230626546467,6.866873682300851,0.137222723817007,7061.396460980177
m_639,ua_mstcn_lite_quantile_forest,5,5.339364176551578,6.9133572359391895,0.1378124151731223,6179.388139396906
m_639,persistence,10,6.8107293550331525,8.875198045219548,0.1733593864974844,0.6913747638463974
m_639,linear_regression,10,5.6126064562746345,7.2842235191955185,0.1457968284363274,17.31250062584877
m_639,random_forest,10,5.638557200090254,7.333672902545439,0.1472801592860208,10411.718042567372
m_639,ua_mstcn_lite_quantile_forest,10,5.726916671822066,7.419566421625373,0.1483677360222642,6246.56368046999
m_3244,persistence,1,3.3246502797761788,4.836151831283182,0.0747252552971277,0.741792842745781
m_3244,linear_regression,1,3.325925534405559,4.645804493068911,0.0731724102638395,16.65954291820526
m_3244,random_forest,1,4.2533412528333985,5.815663078519612,0.0846123206851864,9608.446918427944
m_3244,ua_mstcn_lite_quantile_forest,1,4.493907820985982,6.295993638398814,0.0870043848229664,6635.732972994447
m_3244,persistence,5,5.603544003739317,7.832692972931763,0.1240941377657751,1.783374696969986
m_3244,linear_regression,5,5.370358663280674,7.145240817730865,0.1141691910109267,77.51279324293137
m_3244,random_forest,5,7.500192405792332,10.963996825848923,0.1388897494573064,9464.194916188717
m_3244,ua_mstcn_lite_quantile_forest,5,8.008526111684827,12.12375202658976,0.1445224069612544,6385.195389389992
m_3244,persistence,10,6.339454825530774,8.902802553960392,0.1398923334287725,0.5992520600557327
m_3244,linear_regression,10,6.066475290124729,8.135712182292613,0.1269568912438293,16.595417633652687
m_3244,random_forest,10,8.090132246457882,11.747115249592875,0.1509406687061281,7401.814667508006
m_3244,ua_mstcn_lite_quantile_forest,10,8.109354235078177,11.79907482324839,0.1496297417225544,6395.991390570998
m_1508,persistence,1,3.435753064215295,4.884095320674032,0.0920284428479507,0.6228741258382797
m_1508,linear_regression,1,3.3572404526858923,4.678275498222839,0.0904636774422039,14.567291364073752
m_1508,random_forest,1,3.389287276241814,4.683714814321455,0.0920928230931138,7631.723664700985
m_1508,ua_mstcn_lite_quantile_forest,1,3.376435501303871,4.708118745746869,0.0907949277019411,6002.064557746053
m_1508,persistence,5,6.43203625801282,8.773249769903217,0.172088547423883,1.4035385102033615
m_1508,linear_regression,5,5.5778325354784934,7.441896453150073,0.1519657000792745,15.522999688982964
m_1508,random_forest,5,5.61473238901426,7.4602275896340124,0.1536316087225528,6743.904583156109
m_1508,ua_mstcn_lite_quantile_forest,5,5.599814160485305,7.478059166814876,0.1522521820205026,6002.757636830211
m_1508,persistence,10,7.104361730627553,9.668473021024145,0.1917514909287491,0.6840415298938751
m_1508,linear_regression,10,5.916527616536468,7.942228189183533,0.1625540014094924,16.685999929904938
m_1508,random_forest,10,5.923827287993209,7.865924138185633,0.1630956784624252,6836.884167045355
m_1508,ua_mstcn_lite_quantile_forest,10,5.997810708813893,8.059908916123867,0.1633833740351849,5983.144639059901
m_2366,persistence,1,4.679672928324008,6.571643205661544,0.1198956136124786,0.6300006061792374
m_2366,linear_regression,1,4.447924545117446,6.005264696204776,0.1148364527309268,14.045914635062218
m_2366,random_forest,1,4.462263109184693,6.0295236719409875,0.1159989034121379,6839.762708172202
m_2366,ua_mstcn_lite_quantile_forest,1,4.495391127991853,6.074119781800553,0.1157460334405985,6080.50801542898
m_2366,persistence,5,7.351105101495725,9.588441242683356,0.188277886147494,0.7718335837125778
m_2366,linear_regression,5,6.21161412610506,7.907142732807939,0.16247897736507,17.852749675512314
m_2366,random_forest,5,6.214041303231749,7.870896015138036,0.1636817951777382,6933.722667396069
m_2366,ua_mstcn_lite_quantile_forest,5,6.205644859443412,7.973136835433534,0.1613768978157057,6071.428557236989
m_2366,persistence,10,7.855843546982788,10.277143857713654,0.2012923990233359,0.7920414209365845
m_2366,linear_regression,10,6.581585290834281,8.35610282996909,0.1728035934166225,29.125001281499863
m_2366,random_forest,10,6.637174562668216,8.406128696778955,0.1749809051833353,6792.538372799754
m_2366,ua_mstcn_lite_quantile_forest,10,6.667652059976257,8.538212214237289,0.1729927079598608,6063.1553040196495
m_1223,persistence,1,3.641536770583533,4.997257079104805,0.1146092882519589,0.6678756326436996
m_1223,linear_regression,1,3.5420805452732043,4.7863218346057606,0.1129374587380799,19.81429196894169
m_1223,random_forest,1,3.5567448836173226,4.790201883008089,0.1141446225164796,7212.245125323534
m_1223,ua_mstcn_lite_quantile_forest,1,3.554610457335734,4.843306955094533,0.1126191326899439,6152.293931071957
m_1223,persistence,5,6.314346287393162,8.467181118240852,0.1980569615228923,1.2978315353393557
m_1223,linear_regression,5,5.302273791098855,7.0584715041104475,0.1709636674472421,15.687335282564163
m_1223,random_forest,5,5.304407127703437,7.017063601558642,0.1723917552642073,7349.036959931254
m_1223,ua_mstcn_lite_quantile_forest,5,5.346693014544041,7.1455446425756275,0.1706925243399813,6204.855303590496
m_1223,persistence,10,6.869801084990958,9.24501680211579,0.2174127296945117,0.6227083504199982
m_1223,linear_regression,10,5.639977716924684,7.488826279080152,0.1835971843226897,16.420627012848854
m_1223,random_forest,10,5.663143048145846,7.540447975568863,0.1848567715065748,7078.950664028525
m_1223,ua_mstcn_lite_quantile_forest,10,5.703343016667117,7.683393525562194,0.1844078223160272,6274.697806065281
m_2165,persistence,1,3.699593658406608,4.986732110892049,0.0900295625456475,0.6675403565168381
m_2165,linear_regression,1,3.6479043475243342,4.846740275524262,0.0894936768718722,14.57246020436287
m_2165,random_forest,1,3.6588404657859734,4.83037487424096,0.0904775739039685,8537.286415696144
m_2165,ua_mstcn_lite_quantile_forest,1,3.625821213621564,4.859781787330689,0.0885322139084538,6506.6918053974705
m_2165,persistence,5,6.548083600427351,8.630201471147464,0.1597495894733034,0.8473768830299377
m_2165,linear_regression,5,5.485257268004317,7.245324105548236,0.135888229125693,17.871666699647903
m_2165,random_forest,5,5.49939118487754,7.237248605351369,0.1364711639891492,7793.554749339819
m_2165,ua_mstcn_lite_quantile_forest,5,5.517125397461148,7.315294476205529,0.1356706792527966,6599.463221927484
m_2165,persistence,10,7.184851985801353,9.46058861349958,0.1772942036500306,1.2787077575922012
m_2165,linear_regression,10,5.75192583436816,7.716168128010232,0.1429315230886734,24.49566498398781
m_2165,random_forest,10,5.759529067056117,7.735441443879139,0.1421101187483091,9930.763125419617
m_2165,ua_mstcn_lite_quantile_forest,10,5.92140319136718,7.93174105321238,0.1447673689302576,6765.2076830466585
m_3330,mlp_regressor,1,3.708693422443026,4.900055711146816,0.0861365038886306,735.4522105306387
m_3330,mlp_regressor,5,5.72592244221424,7.359635763860065,0.13358340987368295,461.9431234896183
m_3330,mlp_regressor,10,6.1570645007591205,7.779849628620443,0.1464694256470937,364.7155836224556
